杰伦🎧频道,#genre#
天津卫视,http://rihou.cc:555/tv/天津卫视
吉林卫视,http://rihou.cc:555/tv/吉林卫视
陕西卫视,http://rihou.cc:555/tv/陕西卫视
宁夏卫视,http://rihou.cc:555/tv/宁夏卫视
内蒙古卫视,http://rihou.cc:555/tv/内蒙古卫视
云南卫视,http://rihou.cc:555/tv/云南卫视
山西卫视,http://rihou.cc:555/tv/山西卫视
青海卫视,http://rihou.cc:555/tv/青海卫视
甘肃卫视,http://rihou.cc:555/tv/甘肃卫视
新疆卫视,http://rihou.cc:555/tv/新疆卫视
兵团卫视,http://rihou.cc:555/tv/兵团卫视
延边卫视,http://rihou.cc:555/tv/延边卫视
三沙卫视,http://rihou.cc:555/tv/三沙卫视
农林卫视,http://rihou.cc:555/tv/农林卫视
厦门卫视,http://rihou.cc:555/tv/厦门卫视
央广🍬频道,#genre#
CCTV-1,http://120.238.5.44:1698/hls/17/index.m3u8
CCTV-2,http://120.238.5.44:1698/hls/18/index.m3u8
CCTV-3,http://120.238.5.44:1698/hls/19/index.m3u8
CCTV-4,http://120.238.5.44:1698/hls/20/index.m3u8
CCTV-4,http://120.238.5.44:1698/hls/77/index.m3u8
CCTV-5,http://120.238.5.44:1698/hls/21/index.m3u8
CCTV-5+,http://120.238.5.44:1698/hls/22/index.m3u8
CCTV-6,http://120.238.5.44:1698/hls/23/index.m3u8
CCTV-7,http://120.238.5.44:1698/hls/68/index.m3u8
CCTV-8,http://120.238.5.44:1698/hls/24/index.m3u8
CCTV-9,http://120.238.5.44:1698/hls/74/index.m3u8
CCTV-10,http://120.238.5.44:1698/hls/71/index.m3u8
CCTV-11,http://120.238.5.44:1698/hls/25/index.m3u8
CCTV-12,http://120.238.5.44:1698/hls/26/index.m3u8
CCTV-13,http://120.238.5.44:1698/hls/27/index.m3u8
CCTV-14,http://120.238.5.44:1698/hls/28/index.m3u8
CCTV-15,http://120.238.5.44:1698/hls/29/index.m3u8
CCTV-17,http://120.238.5.44:1698/hls/30/index.m3u8
CETV-1,http://120.238.5.44:1698/hls/47/index.m3u8
黑龙江卫视,http://120.238.5.44:1698/hls/16/index.m3u8
湖北卫视,http://120.238.5.44:1698/hls/32/index.m3u8
甘肃卫视,http://120.238.5.44:1698/hls/38/index.m3u8
广西卫视,http://120.238.5.44:1698/hls/36/index.m3u8
山东卫视,http://120.238.5.44:1698/hls/31/index.m3u8
江西卫视,http://120.238.5.44:1698/hls/67/index.m3u8
重庆卫视,http://120.238.5.44:1698/hls/42/index.m3u8
东南卫视,http://120.238.5.44:1698/hls/44/index.m3u8
河南卫视,http://120.238.5.44:1698/hls/34/index.m3u8
河北卫视,http://120.238.5.44:1698/hls/35/index.m3u8
内蒙古卫视,http://120.238.5.44:1698/hls/48/index.m3u8
深圳卫视,http://120.238.5.44:1698/hls/62/index.m3u8
四川卫视,http://120.238.5.44:1698/hls/41/index.m3u8
贵州卫视,http://120.238.5.44:1698/hls/46/index.m3u8
湖南卫视,http://120.238.5.44:1698/hls/60/index.m3u8
吉林卫视,http://120.238.5.44:1698/hls/37/index.m3u8
海南卫视,http://120.238.5.44:1698/hls/45/index.m3u8
山西卫视,http://120.238.5.44:1698/hls/51/index.m3u8
青海卫视,http://120.238.5.44:1698/hls/53/index.m3u8
新疆卫视,http://120.238.5.44:1698/hls/49/index.m3u8
北京卫视,http://120.238.5.44:1698/hls/61/index.m3u8
辽宁卫视,http://120.238.5.44:1698/hls/33/index.m3u8
兵团卫视,http://120.238.5.44:1698/hls/52/index.m3u8
安徽卫视,http://120.238.5.44:1698/hls/63/index.m3u8
浙江卫视,http://120.238.5.44:1698/hls/64/index.m3u8
陕西卫视,http://120.238.5.44:1698/hls/50/index.m3u8
天津卫视,http://120.238.5.44:1698/hls/66/index.m3u8
云南卫视,http://120.238.5.44:1698/hls/43/index.m3u8
东方卫视,http://120.238.5.44:1698/hls/72/index.m3u8
江苏卫视,http://120.238.5.44:1698/hls/73/index.m3u8
快乐垂钓,http://120.238.5.44:1698/hls/40/index.m3u8
茶频道,http://120.238.5.44:1698/hls/39/index.m3u8
金鹰卡通,http://120.238.5.44:1698/hls/54/index.m3u8
卡酷少儿,http://120.238.5.44:1698/hls/55/index.m3u8
嘉佳卡通,http://120.238.5.44:1698/hls/56/index.m3u8
优漫卡通,http://120.238.5.44:1698/hls/58/index.m3u8
CHC影迷电影,http://120.238.5.44:1698/hls/82/index.m3u8
CHC家庭影院,http://120.238.5.44:1698/hls/69/index.m3u8
CHC动作电影,http://120.238.5.44:1698/hls/70/index.m3u8
凤凰香港HD,http://120.238.5.44:1698/hls/87/index.m3u8
凤凰卫视HD,http://120.238.5.44:1698/hls/86/index.m3u8
凤凰资讯HD,http://120.238.5.44:1698/hls/85/index.m3u8
TVB翡翠HD,http://120.238.5.44:1698/hls/83/index.m3u8
TVB明珠HD,http://120.238.5.44:1698/hls/84/index.m3u8
TVB星河频道,http://120.238.5.44:1698/hls/88/index.m3u8
天映经典,http://120.238.5.44:1698/hls/59/index.m3u8
澳视澳门,http://120.238.5.44:1698/hls/76/index.m3u8
广东卫视高清,http://120.238.5.44:1698/hls/8/index.m3u8
广东新闻,http://120.238.5.44:1698/hls/10/index.m3u8
广东影视,http://120.238.5.44:1698/hls/12/index.m3u8
大湾区卫视,http://120.238.5.44:1698/hls/11/index.m3u8
广东珠江,http://120.238.5.44:1698/hls/78/index.m3u8
广东民生,http://120.238.5.44:1698/hls/9/index.m3u8
广东少儿,http://120.238.5.44:1698/hls/13/index.m3u8
广东体育,http://120.238.5.44:1698/hls/75/index.m3u8
广东经济科教,http://120.238.5.44:1698/hls/65/index.m3u8
广东戏曲频道,http://120.238.5.44:1698/hls/91/index.m3u8
深圳都市频道,http://120.238.5.44:1698/hls/15/index.m3u8
深圳电视剧,http://120.238.5.44:1698/hls/14/index.m3u8
揭阳综合,http://120.238.5.44:1698/hls/1/index.m3u8
揭阳生活,http://120.238.5.44:1698/hls/2/index.m3u8
潮州综合,http://120.238.5.44:1698/hls/3/index.m3u8
潮州民生,http://120.238.5.44:1698/hls/4/index.m3u8
惠来综合,http://120.238.5.44:1698/hls/79/index.m3u8
汕头经济生活,http://120.238.5.44:1698/hls/6/index.m3u8
汕头综合,http://120.238.5.44:1698/hls/5/index.m3u8
汕尾文化生活,http://120.238.5.44:1698/hls/7/index.m3u8
重温经典HD,http://120.238.5.44:1698/hls/80/index.m3u8
新视觉HD,http://120.238.5.44:1698/hls/81/index.m3u8
广东🧁潮汕,#genre#
岭南戏曲|直播,http://gs.jianghua.fun:7088/udp/239.77.0.122:5146
广州综合|直播,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701
广州新闻|直播,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
南国都市|直播,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州南国都市4k|直播,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
广州综合|直播,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州新闻|直播,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
广州综合|直播,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701
广州新闻|直播,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
广州南国都市4k|直播,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州南国都市4k|直播,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
广州综合|直播,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州新闻|直播,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
广州综合|直播,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701
广州新闻|直播,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
广州南国都市4k|直播,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州综合|直播,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州新闻|直播,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州南国都市|直播,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
东莞综合|直播,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯|直播,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
河源综合|直播,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共|直播,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
梅州综合|直播,http://pili-live-hls.xianchangliving.gdmztv.com:80/meizhou-xianchangliving/mztv1.m3u8
客家生活|直播,http://pili-live-hls.xianchangliving.gdmztv.com:80/meizhou-xianchangliving/mztv2.m3u8
韶关综合|直播,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
深圳都市|直播,http://livepull-tcms.sztv.com.cn/live/dslive.m3u8
东莞新闻综合|直播,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯|直播,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
中山综合|直播,http://v.zsbtv.com.cn/lsdream/qTl38me/1000/live.m3u8
韶关综合|直播,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
河源综合1|直播,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共1|直播,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
东莞新闻综合|直播,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯|直播,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
中山综合|直播,http://v.zsbtv.com.cn/lsdream/qTl38me/1000/live.m3u8
韶关综合|直播,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
河源综合1|直播,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共1|直播,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
广州综合|直播,http://47.108.20.161:8866/guangdong/guangzhou.php?id=zhonghe
广州新闻|直播,http://47.108.20.161:8866/guangdong/guangzhou.php?id=xinwen
广州法治|直播,http://47.108.20.161:8866/guangdong/guangzhou.php?id=fazhi
广州都市|直播,http://47.108.20.161:8866/guangdong/guangzhou.php?id=shenghuo
揭阳综合|直播,http://47.108.20.161:8866/guangdong/jieyang.php?id=jyzh
揭阳生活|直播,http://47.108.20.161:8866/guangdong/jieyang.php?id=jysh
深圳卫视|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szws
深圳都市|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szds
深圳电视剧|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szdsj
深圳财经生活|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szcj
深圳少儿频道|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szse
深圳移动|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szyd
深圳国际|直播,http://47.108.20.161:8866/guangdong/shenzhen.php?id=szgj
经典🦔轮播,#genre#
林正英,http://tv.zimtv.cn/tv/player/api/huya.php?id=31183563
古惑仔,https://live.ottiptv.cc/yy/1458015189
港片搞笑,https://live.ottiptv.cc/yy/1355480591
周星驰,https://live.ottiptv.cc/yy/38670875
恐怖电影,https://live.ottiptv.cc/yy/24066336
林正英经典,https://live.ottiptv.cc/yy/1351505899
鬼片喜剧动作港剧,https://live.ottiptv.cc/yy/1355269576
经典鬼片3000部,https://live.ottiptv.cc/yy/29460894
伪装者,https://live.ottiptv.cc/yy/1354936244
西游记后传,https://live.ottiptv.cc/yy/1353392400
隋唐英雄传,https://live.ottiptv.cc/yy/1352475619
仙剑奇侠传,https://live.ottiptv.cc/yy/1382749903
周润发电影,http://38.75.136.137:98/gslb/dsdqpub/lbzrf.m3u8?auth=testpub
周星驰电影,http://38.75.136.137:98/gslb/dsdqpub/lbzxc.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
成龙电影,http://38.75.136.137:98/gslb/dsdqpub/lbcl.m3u8?auth=testpub
林正英影院,http://38.75.136.137:98/gslb/dsdqpub/lblzy.m3u8?auth=testpub
哈尔滨影视,https://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
科幻电影,https://live.ottiptv.cc/yy/1354930209
1930年代经典电影,https://live.ottiptv.cc/yy/1356363815
8090电影一哥,https://live.ottiptv.cc/yy/29197808
YY果国际电影频道,https://live.ottiptv.cc/yy/1382627144
光光电影,https://live.ottiptv.cc/huya/29399457
力哥影视,https://live.ottiptv.cc/huya/23419131
史诗级科幻电影阿凡达,https://live.ottiptv.cc/yy/1382735577
周星驰搞笑电影,https://live.ottiptv.cc/yy/38670875
喜剧电影放映厅,https://live.ottiptv.cc/huya/11602031
国产动作电影,https://live.ottiptv.cc/yy/1382736858
国产大片电影,https://live.ottiptv.cc/yy/1354926655
国产电影就是闹着玩的,https://live.ottiptv.cc/yy/1354931503
国内玄幻电影林正英,https://live.ottiptv.cc/yy/1354932444
国内经典动作电影,https://live.ottiptv.cc/yy/1382851522
夏洛特烦恼国内电影喜剧,https://live.ottiptv.cc/yy/1354936201
大墨电影,https://live.ottiptv.cc/huya/29458834
大江大河2高分影视推荐,https://live.ottiptv.cc/yy/1382736797
大江大河高分影视推荐,https://live.ottiptv.cc/yy/1382736806
大神影视,https://live.ottiptv.cc/huya/30297011
大进军全集红色系列电影,https://live.ottiptv.cc/yy/1382745083
天龙八部,https://live.ottiptv.cc/yy/1351814644
奇幻电影放映厅,https://live.ottiptv.cc/huya/26355847
娇娇影视,https://live.ottiptv.cc/huya/31027196
小丑电影,https://live.ottiptv.cc/huya/29869799
岳云鹏宋小宝也来演电影了,https://live.ottiptv.cc/yy/1354926612
影视小艺,https://live.ottiptv.cc/yy/1382737886
影视铺FILMSHOP,https://live.ottiptv.cc/huya/30297166
悬疑武侠电影九门,https://live.ottiptv.cc/yy/1382828768
悬疑电影放映厅,https://live.ottiptv.cc/huya/29982641
救赎电影,https://live.ottiptv.cc/huya/29833341
新海电影,https://live.ottiptv.cc/huya/29396806
木子电影V,https://live.ottiptv.cc/huya/27314057
末日电影合集,https://live.ottiptv.cc/yy/1354889019
林正英经典电影,https://live.ottiptv.cc/yy/34229877
止戈电影,https://live.ottiptv.cc/huya/19863777
武侠电影放映厅,https://live.ottiptv.cc/huya/29982611
热血抗日电影,https://live.ottiptv.cc/yy/1382749907
爆笑电影王牌大贱谍23,https://live.ottiptv.cc/yy/1382735556
爆裂电影2,https://live.ottiptv.cc/huya/29982678
猫丸酱影视,https://live.ottiptv.cc/huya/26999674
珍珠港电影,https://live.ottiptv.cc/yy/1354936234
电影,https://live.ottiptv.cc/yy/37454459
电影最TOP,https://live.ottiptv.cc/huya/11774959
电影最TOP2,https://live.ottiptv.cc/huya/29982676
电影狂人A,https://live.ottiptv.cc/huya/18715610
电影百团大战,https://live.ottiptv.cc/yy/1382736871
电影黑豹,https://live.ottiptv.cc/yy/1382736816
短剧电影院,https://live.ottiptv.cc/huya/31002899
碟中谍系列电影,https://live.ottiptv.cc/yy/1382736836
粟裕大将影视,https://live.ottiptv.cc/yy/1354926542
粤语电影放映厅,https://live.ottiptv.cc/huya/21059572
精彩动作电影,https://live.ottiptv.cc/yy/1382736823
精彩动作电影享不停,https://live.ottiptv.cc/yy/1382736809
经典港片电影,https://live.ottiptv.cc/yy/1459801818
经典港片电影,https://live.ottiptv.cc/yy/1461889059
经典电影港片枪战,https://live.ottiptv.cc/yy/1355076627
超精彩系列动作电影,https://live.ottiptv.cc/yy/1382745096
辟哥影视,https://live.ottiptv.cc/huya/27653235
远去的飞鹰影视剧,https://live.ottiptv.cc/yy/1354930912
酱婶儿电影,https://live.ottiptv.cc/huya/24396474
野山鹰影视剧,https://live.ottiptv.cc/yy/1354932395
鑫鑫影视,https://live.ottiptv.cc/huya/30439676
阿涛影视,https://live.ottiptv.cc/huya/30292047
雨哥影视,https://live.ottiptv.cc/huya/29517294
青年电影馆,https://live.ottiptv.cc/huya/21388479
鹿儿影视,https://live.ottiptv.cc/huya/30986994
齐鲁影视,https://live.ottiptv.cc/huya/29807061
支持作者,https://vd3.bdstatic.com/mda-rkaittm5s06vzzyq/sc/cae_h264/1762869883709304452/mda-rkaittm5s06vzzyq.mp4
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
靖天戏剧,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv058
靖天映画,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv055
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
冰冰影剧,http://www.goodiptv.club/douyu/74374
刀刀影院,http://www.goodiptv.club/douyu/747764
华语影视,http://www.goodiptv.club/douyu/3928
古装武侠,http://www.goodiptv.club/douyu/2793084
安徽影视,https://www.ahtv.cn/folder9000/folder20193?channelIndex=3
寒战,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
斗鱼港剧,http://www.goodiptv.club/douyu/5061550
港台🌧电影,#genre#
NOW爆谷,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUaFBmz2P45zHSyAqfwWcUpn7Lrhdbt8W042CxwTlNwHQBHxAorPl6WG505axByLsqm_6uwwf1TFr09ekS-WoJxI9O52n-XjCSzld0iXNILyGsupIIoJAwHj6sU5fRMWkT8lXOjk8dzTjEAFkg7T7lkFrggmhPUEnMV8uzxJHoqLE4Z9kmjzi7bsfb2fGQXfcylFnj-ccOYGV6y8bKDUuf22WZ575UidyzCiYfIdoV-yo.m3u8?u=1756878715
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$浙江/绍兴/电信
纬来电影,http://rihou.cc:555/tv/纬来电影
东森洋片,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUHWMHCytb2VBItbRCwo0LyueGr-6I5WurXyVzCPErAn1bIY0Xo0oD4WTTmWvbwk0WlRLAiSKjvvk1qlTgn_rvKqmndIlkvXOsgb2pLGqYWlBY4bum9lzyFDqrQV09sm9mH8Norh0gOkpeKmnKhs7l0EGvOTpy8B5LkIDy-zcVjSoBzBiSy2SqAL9FF4LqSM_pIZGYBuWkuHd68RQGk25yig.m3u8?u=1756878715
1905流金岁月,https://cdn.jdshipin.com/1905.php
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$浙江/绍兴/电信
峨眉电影,http://112.19.31.13:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
峨眉电影,http://183.220.20.17:4321/udp/239.11.0.11:5140$四川移动
重温经典,http://rihou.cc:555/tv/重温经典
新视觉HD,http://221.7.49.226:50085/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
邵氏喜剧,http://rihou.cc:555/tv/[FY]邵氏喜剧
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
香港🌧频道,#genre#
凤凰中文,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu001-golive.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu002-golive.flv
凤凰中文,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信酒店
TVB PLUS,http://74.91.26.218:82/live/j2.m3u8#https://smt.1678520.xyz/smt3.2.3.php?id=j2_twn
Channel [V],http://rihou.cc:555/tv/Channel+V
欧洲华文,http://oh.eztv.vip/live/eztv1.m3u8
台湾🌧频道,#genre#
温馨提醒:设置超时30秒最佳,http://rihou.cc:555/tv/ds
中天新闻,http://rihou.cc:555/tv/中天新闻
中天综合,http://rihou.cc:555/tv/中天综合
寰宇新聞,http://rihou.cc:555/tv/寰宇新闻
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
镜新闻,http://rihou.cc:555/tv/镜新闻
民视新闻,http://rihou.cc:555/tv/民视新闻
民视新闻,http://74.91.26.218:82/live/ftvnews.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
华视新闻,http://74.91.26.218:82/live/ctsnews.m3u8
民视第一,http://74.91.26.218:82/live/ftvdy.m3u8
民视台湾,http://74.91.26.218:82/live/ftvtw.m3u8
台視新聞测试,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
中视菁采,http://74.91.26.218:82/live/ctvjc.m3u8
台视综合,http://74.91.26.218:82/live/ttvzh.m3u8
小公视,http://74.91.26.218:82/live/ptsse.m3u8
华视体育,http://74.91.26.218:82/live/ctsjy.m3u8
公视台语,http://74.91.26.218:82/live/ptsty.m3u8
